filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,77,1,0
10__M_Left_index_finger.png,70,7,0
10__M_Left_index_finger.png,49,11,3
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,78,1,0
10__M_Left_index_finger.png,80,0,0
10__M_Left_index_finger.png,79,0,0
10__M_Left_index_finger.png,80,0,0
10__M_Left_index_finger.png,78,0,0
10__M_Left_index_finger.png,75,3,0
10__M_Left_index_finger.png,28,19,4
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,80,0,0
10__M_Left_index_finger.png,57,13,0
10__M_Left_index_finger.png,33,21,2
10__M_Left_index_finger.png,35,17,0
10__M_Left_index_finger.png,22,23,0
10__M_Left_index_finger.png,20,25,2
10__M_Left_index_finger.png,22,20,0
10__M_Left_index_finger.png,28,16,0
10__M_Left_index_finger.png,24,16,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,62,8,1
10__M_Left_index_finger.png,45,19,0
10__M_Left_index_finger.png,42,12,0
10__M_Left_index_finger.png,16,25,2
10__M_Left_index_finger.png,18,22,0
10__M_Left_index_finger.png,17,18,0
10__M_Left_index_finger.png,17,7,1
10__M_Left_index_finger.png,25,11,0
10__M_Left_index_finger.png,18,9,0
10__M_Left_index_finger.png,80,0,0
10__M_Left_index_finger.png,33,29,1
10__M_Left_index_finger.png,24,31,0
10__M_Left_index_finger.png,23,23,3
10__M_Left_index_finger.png,23,23,0
10__M_Left_index_finger.png,10,19,2
10__M_Left_index_finger.png,17,9,2
10__M_Left_index_finger.png,21,8,2
10__M_Left_index_finger.png,19,10,0
10__M_Left_index_finger.png,11,10,1
10__M_Left_index_finger.png,73,6,0
10__M_Left_index_finger.png,43,23,1
10__M_Left_index_finger.png,31,28,0
10__M_Left_index_finger.png,29,20,2
10__M_Left_index_finger.png,17,29,1
10__M_Left_index_finger.png,14,19,2
10__M_Left_index_finger.png,12,5,1
10__M_Left_index_finger.png,14,15,2
10__M_Left_index_finger.png,11,9,1
10__M_Left_index_finger.png,10,5,1
10__M_Left_index_finger.png,78,0,0
10__M_Left_index_finger.png,60,8,0
10__M_Left_index_finger.png,43,21,1
10__M_Left_index_finger.png,34,22,3
10__M_Left_index_finger.png,11,22,6
10__M_Left_index_finger.png,12,19,4
10__M_Left_index_finger.png,15,14,0
10__M_Left_index_finger.png,10,12,0
10__M_Left_index_finger.png,15,10,0
10__M_Left_index_finger.png,11,8,0
10__M_Left_index_finger.png,80,0,0
10__M_Left_index_finger.png,67,2,1
10__M_Left_index_finger.png,39,26,1
10__M_Left_index_finger.png,35,18,1
10__M_Left_index_finger.png,22,24,1
10__M_Left_index_finger.png,18,18,1
10__M_Left_index_finger.png,19,21,1
10__M_Left_index_finger.png,12,14,1
10__M_Left_index_finger.png,16,15,0
10__M_Left_index_finger.png,14,6,0
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,69,6,0
10__M_Left_index_finger.png,36,26,2
10__M_Left_index_finger.png,29,26,1
10__M_Left_index_finger.png,15,29,5
10__M_Left_index_finger.png,11,32,1
10__M_Left_index_finger.png,13,26,0
10__M_Left_index_finger.png,17,11,0
10__M_Left_index_finger.png,18,13,1
10__M_Left_index_finger.png,10,20,2
10__M_Left_index_finger.png,81,0,0
10__M_Left_index_finger.png,80,0,0
10__M_Left_index_finger.png,60,12,0
10__M_Left_index_finger.png,33,25,0
10__M_Left_index_finger.png,20,24,2
10__M_Left_index_finger.png,14,21,1
10__M_Left_index_finger.png,11,19,0
10__M_Left_index_finger.png,21,15,0
10__M_Left_index_finger.png,11,20,2
10__M_Left_index_finger.png,14,18,1
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,77,3,0
10__M_Left_little_finger.png,70,6,1
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,54,16,2
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,80,0,0
10__M_Left_little_finger.png,59,4,0
10__M_Left_little_finger.png,45,13,1
10__M_Left_little_finger.png,36,12,3
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,64,9,2
10__M_Left_little_finger.png,10,31,1
10__M_Left_little_finger.png,9,17,0
10__M_Left_little_finger.png,11,7,1
10__M_Left_little_finger.png,16,8,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,57,14,0
10__M_Left_little_finger.png,25,33,2
10__M_Left_little_finger.png,9,34,5
10__M_Left_little_finger.png,10,12,1
10__M_Left_little_finger.png,11,6,1
10__M_Left_little_finger.png,13,6,2
10__M_Left_little_finger.png,9,8,1
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,79,0,0
10__M_Left_little_finger.png,47,18,0
10__M_Left_little_finger.png,25,23,0
10__M_Left_little_finger.png,10,30,4
10__M_Left_little_finger.png,10,21,4
10__M_Left_little_finger.png,15,7,0
10__M_Left_little_finger.png,10,10,0
10__M_Left_little_finger.png,14,8,1
10__M_Left_little_finger.png,8,8,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,61,13,1
10__M_Left_little_finger.png,55,11,0
10__M_Left_little_finger.png,23,25,1
10__M_Left_little_finger.png,15,24,1
10__M_Left_little_finger.png,15,13,3
10__M_Left_little_finger.png,14,12,3
10__M_Left_little_finger.png,13,11,7
10__M_Left_little_finger.png,17,2,0
10__M_Left_little_finger.png,17,9,1
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,66,11,1
10__M_Left_little_finger.png,52,16,1
10__M_Left_little_finger.png,25,22,2
10__M_Left_little_finger.png,25,18,1
10__M_Left_little_finger.png,13,19,1
10__M_Left_little_finger.png,13,15,3
10__M_Left_little_finger.png,15,6,0
10__M_Left_little_finger.png,21,13,1
10__M_Left_little_finger.png,36,6,0
10__M_Left_little_finger.png,81,0,0
10__M_Left_little_finger.png,79,1,0
10__M_Left_little_finger.png,54,17,0
10__M_Left_little_finger.png,28,28,0
10__M_Left_little_finger.png,12,24,2
10__M_Left_little_finger.png,12,21,0
10__M_Left_little_finger.png,8,10,1
10__M_Left_little_finger.png,14,12,1
10__M_Left_little_finger.png,15,14,1
10__M_Left_little_finger.png,14,14,0
